Branch,Clinic,Doctor Name,Clinic Rank in Medical Center,Doctor Rank in Clinic,Section,Period,Claimed Amount,#Claimants,#Claims,ACLC (Average Claimant Cost Doctor Clinic),ACC (Average Claim Cost Doctor Clinic),ACC (Average Claim Cost Branch Clinic),Ratio ACC to Branch,ACLC (Average Claimant Cost Branch Clinic),Ratio ACLC to Branch,ACC (Average Claim Cost Medical Centers Clinic),Ratio ACC to Medical Center,ACC INDICATOR,ACLC (Average Claimant Cost Medical Centers Clinic),Ratio ACLC to Medical Center
DQ,ER CLINIC,RAMI MATOUK,3,3,PHR,202401,"29,990",,,120,119,122,0.97,127,0.95,129,0.92,Normal,134,0.89
DQ,ER CLINIC,RAWAN ABDULMALIK,3,7,PHR,202401,"10,736",,,98,98,122,0.81,127,0.78,129,0.76,Normal,134,0.73
DQ,ER CLINIC,Referral Doctor,3,8,PHR,202401,0,,,0,0,122,0.00,127,0.00,129,0.00,Normal,134,0.00
DQ,ER CLINIC,SUHAIB JABER,3,9,PHR,202401,"1,603",,,160,160,122,1.32,127,1.27,129,1.24,High,134,1.19
DQ,ER CLINIC,DALIA HASSAN ALI NASR,3,4,Radiology,202401,"2,265",,,16,16,11,1.48,11,1.42,10,1.51,High,11,1.45
DQ,ER CLINIC,FARDWS YASSF,3,2,Radiology,202401,"3,184",,,9,9,11,0.82,11,0.80,10,0.83,Normal,11,0.82
DQ,ER CLINIC,HAYAM SHASH,3,1,Radiology,202401,"6,010",,,17,17,11,1.64,11,1.58,10,1.67,High,11,1.61
DQ,ER CLINIC,MAYYAR KHALAF,3,6,Radiology,202401,"1,311",,,11,11,11,1.03,11,0.99,10,1.05,High,11,1.01
DQ,ER CLINIC,MOHAMMED ALAWADI,3,5,Radiology,202401,"1,180",,,8,8,11,0.77,11,0.74,10,0.78,Normal,11,0.75
DQ,ER CLINIC,RAMI MATOUK,3,3,Radiology,202401,"1,946",,,8,8,11,0.73,11,0.71,10,0.74,Normal,11,0.72
DQ,ER CLINIC,RAWAN ABDULMALIK,3,7,Radiology,202401,226,,,2,2,11,0.20,11,0.19,10,0.20,Normal,11,0.19
DQ,ER CLINIC,Referral Doctor,3,8,Radiology,202401,0,,,0,0,11,0.00,11,0.00,10,0.00,Normal,11,0.00
DQ,ER CLINIC,SUHAIB JABER,3,9,Radiology,202401,0,,,0,0,11,0.00,11,0.00,10,0.00,Normal,11,0.00
DQ,ER CLINIC,MAYYAR KHALAF,3,6,Total,202401,"38,116",121,121,315,315,294,1.07,306,1.03,308,1.02,High,320,0.98
DQ,PEDIATRIC,MOUDI ALHAMWAH,2,3,Total,202401,"36,864",70,73,527,505,501,1.01,543,0.97,516,0.98,Normal,557,0.94
DQ,ENT CLINIC,AHMED ALSAYED,4,3,Total,202401,"35,018",75,75,467,467,658,0.71,685,0.68,639,0.73,Normal,667,0.70
DQ,ORTHOPEDICS,TARIQ ALDALBAHI,5,3,Total,202401,"34,724",59,59,589,589,640,0.92,673,0.87,592,0.99,Normal,622,0.95
DQ,ORTHOPEDICS,MOHAMMED BENMEAKEL,5,4,Total,202401,"34,309",63,64,545,536,640,0.84,673,0.81,592,0.90,Normal,622,0.88
DC,ER CLINIC,MOHAMMED ALAWADI,4,5,Total,202401,"32,013",98,98,327,327,332,0.98,342,0.96,308,1.06,High,320,1.02
DQ,PEDIATRIC,YOUSEF ALYAMANY,2,4,Total,202401,"31,996",66,66,485,485,501,0.97,543,0.89,516,0.94,Normal,557,0.87
DC,INTERNAL MEDICINE CLINIC,SAMI SAAD ALSHAMMARI,7,2,Total,202401,"30,984",39,39,794,794,907,0.88,945,0.84,830,0.96,Normal,976,0.81
DQ,OPHTHALMOLOGY,KHALID  AL LAHAWI,5,2,Total,202401,"29,172",64,64,456,456,431,1.06,433,1.05,376,1.21,High,381,1.20
DQ,FAMILY MEDICINE,ABDULAZIZ ALHOQAIL,1,7,Consultation,202401,"1,997",,,133,133,136,0.98,145,0.92,137,0.97,Normal,147,0.91
DQ,FAMILY MEDICINE,ABDULRAHMAN ALAMMAR,1,3,Consultation,202401,"27,447",,,135,131,136,0.97,145,0.93,137,0.96,Normal,147,0.92
DQ,FAMILY MEDICINE,GRACIA HAMADEH,1,2,Consultation,202401,"40,110",,,139,132,136,0.97,145,0.96,137,0.96,Normal,147,0.95
DQ,FAMILY MEDICINE,NAIF ABDULLAH ALOMARI,1,4,Consultation,202401,"20,284",,,168,165,136,1.21,145,1.16,137,1.20,High,147,1.14
DQ,FAMILY MEDICINE,NAIF ALEID,1,6,Consultation,202401,"3,719",,,133,133,136,0.98,145,0.92,137,0.97,Normal,147,0.91
DQ,FAMILY MEDICINE,RAHMA GUENICHI,1,1,Consultation,202401,"44,323",,,139,133,136,0.98,145,0.96,137,0.97,Normal,147,0.94
DQ,FAMILY MEDICINE,YASIR ALHUZANI,1,5,Consultation,202401,"13,703",,,137,132,136,0.97,145,0.95,137,0.96,Normal,147,0.93
DQ,FAMILY MEDICINE,ABDULAZIZ ALHOQAIL,1,7,Lab,202401,"5,689",,,379,379,447,0.85,477,0.79,467,0.81,Normal,499,0.76
DQ,FAMILY MEDICINE,ABDULRAHMAN ALAMMAR,1,3,Lab,202401,"71,737",,,352,343,447,0.77,477,0.74,467,0.74,Normal,499,0.71
DQ,FAMILY MEDICINE,GRACIA HAMADEH,1,2,Lab,202401,"125,413",,,435,414,447,0.93,477,0.91,467,0.89,Normal,499,0.87
DQ,FAMILY MEDICINE,NAIF ABDULLAH ALOMARI,1,4,Lab,202401,"60,370",,,499,491,447,1.10,477,1.05,467,1.05,High,499,1.00
DQ,FAMILY MEDICINE,NAIF ALEID,1,6,Lab,202401,"10,402",,,371,371,447,0.83,477,0.78,467,0.80,Normal,499,0.74
DQ,FAMILY MEDICINE,RAHMA GUENICHI,1,1,Lab,202401,"190,444",,,595,570,447,1.27,477,1.25,467,1.22,High,499,1.19
DQ,FAMILY MEDICINE,YASIR ALHUZANI,1,5,Lab,202401,"35,291",,,353,339,447,0.76,477,0.74,467,0.73,Normal,499,0.71
DQ,FAMILY MEDICINE,ABDULAZIZ ALHOQAIL,1,7,Others,202401,278,,,19,19,26,0.72,27,0.68,21,0.90,Normal,22,0.84
DQ,FAMILY MEDICINE,ABDULRAHMAN ALAMMAR,1,3,Others,202401,"1,717",,,8,8,26,0.32,27,0.31,21,0.40,Normal,22,0.38
DQ,FAMILY MEDICINE,GRACIA HAMADEH,1,2,Others,202401,"13,022",,,45,43,26,1.68,27,1.66,21,2.09,High,22,2.05
DQ,FAMILY MEDICINE,NAIF ABDULLAH ALOMARI,1,4,Others,202401,"5,909",,,49,48,26,1.88,27,1.79,21,2.33,High,22,2.22
DQ,FAMILY MEDICINE,NAIF ALEID,1,6,Others,202401,409,,,15,15,26,0.57,27,0.54,21,0.71,Normal,22,0.66
DQ,FAMILY MEDICINE,RAHMA GUENICHI,1,1,Others,202401,"6,611",,,21,20,26,0.77,27,0.76,21,0.96,Normal,22,0.94
DQ,FAMILY MEDICINE,YASIR ALHUZANI,1,5,Others,202401,598,,,6,6,26,0.22,27,0.22,21,0.28,Normal,22,0.27
DQ,FAMILY MEDICINE,ABDULAZIZ ALHOQAIL,1,7,PHR,202401,"9,874",,,658,658,208,3.16,222,2.96,227,2.90,High,242,2.72
DQ,FAMILY MEDICINE,ABDULRAHMAN ALAMMAR,1,3,PHR,202401,"20,155",,,99,96,208,0.46,222,0.44,227,0.43,Normal,242,0.41
DQ,FAMILY MEDICINE,GRACIA HAMADEH,1,2,PHR,202401,"89,883",,,312,297,208,1.43,222,1.41,227,1.31,High,242,1.29
DQ,FAMILY MEDICINE,NAIF ABDULLAH ALOMARI,1,4,PHR,202401,"23,258",,,192,189,208,0.91,222,0.87,227,0.83,Normal,242,0.79
DQ,FAMILY MEDICINE,NAIF ALEID,1,6,PHR,202401,"2,358",,,84,84,208,0.40,222,0.38,227,0.37,Normal,242,0.35
DQ,FAMILY MEDICINE,RAHMA GUENICHI,1,1,PHR,202401,"69,240",,,216,207,208,1.00,222,0.97,227,0.91,Normal,242,0.89
DQ,FAMILY MEDICINE,YASIR ALHUZANI,1,5,PHR,202401,"17,506",,,175,168,208,0.81,222,0.79,227,0.74,Normal,242,0.72
DQ,FAMILY MEDICINE,ABDULAZIZ ALHOQAIL,1,7,Radiology,202401,0,,,0,0,24,0.00,25,0.00,19,0.00,Normal,20,0.00
DQ,FAMILY MEDICINE,ABDULRAHMAN ALAMMAR,1,3,Radiology,202401,"2,210",,,11,11,24,0.44,25,0.43,19,0.56,Normal,20,0.54
DQ,FAMILY MEDICINE,GRACIA HAMADEH,1,2,Radiology,202401,"9,522",,,33,31,24,1.32,25,1.30,19,1.68,High,20,1.65
DQ,FAMILY MEDICINE,NAIF ABDULLAH ALOMARI,1,4,Radiology,202401,"1,362",,,11,11,24,0.46,25,0.44,19,0.59,Normal,20,0.56
DQ,FAMILY MEDICINE,NAIF ALEID,1,6,Radiology,202401,"1,082",,,39,39,24,1.62,25,1.52,19,2.06,High,20,1.93
DQ,FAMILY MEDICINE,RAHMA GUENICHI,1,1,Radiology,202401,"8,905",,,28,27,24,1.12,25,1.09,19,1.42,High,20,1.39
DQ,FAMILY MEDICINE,YASIR ALHUZANI,1,5,Radiology,202401,"3,507",,,35,34,24,1.42,25,1.38,19,1.80,High,20,1.75
DC,FAMILY MEDICINE,ABRAR MUBARAK ALGHARBI,1,6,Total,202401,"28,941",46,49,629,591,907,0.65,966,0.65,870,0.68,Normal,930,0.68
DQ,ER CLINIC,RAWAN ABDULMALIK,3,7,Total,202401,"27,645",109,109,254,254,294,0.86,306,0.83,308,0.82,Normal,320,0.79
DQ,UROLOGY CLINIC,AHMAD YOUSEF ALWUHOUSH,7,1,Total,202401,"24,960",41,42,609,594,559,1.06,571,1.07,485,1.22,High,490,1.24
DC,ORTHOPEDICS,SULTAN ALHARBI,11,2,Total,202401,"24,944",59,61,423,409,484,0.84,500,0.84,592,0.69,Normal,622,0.68
DC,FAMILY MEDICINE,BOCHRA BELHADJ,1,7,Total,202401,"23,607",40,40,590,590,907,0.65,966,0.61,870,0.68,Normal,930,0.63
DQ,PEDIATRIC,SAMIA ABDULRHMAN ALMADHI,2,5,Total,202401,"21,438",48,48,447,447,501,0.89,543,0.82,516,0.87,Normal,557,0.80
DQ,FAMILY MEDICINE,NAIF ALEID,1,6,Total,202401,"17,970",28,28,642,642,841,0.76,897,0.72,870,0.74,Normal,930,0.69
DQ,GENERAL SURGERY CLINIC,OHOOD ALAMER,8,1,Consultation,202401,"1,098",,,137,122,134,0.91,144,0.95,134,0.91,Normal,144,0.95
DQ,GENERAL SURGERY CLINIC,Referral Doctor,8,2,Consultation,202401,776,,,155,155,134,1.16,144,1.08,134,1.16,High,144,1.08
DQ,GENERAL SURGERY CLINIC,OHOOD ALAMER,8,1,Lab,202401,594,,,74,66,42,1.56,46,1.63,42,1.56,High,46,1.63
DQ,GENERAL SURGERY CLINIC,Referral Doctor,8,2,Lab,202401,0,,,0,0,42,0.00,46,0.00,42,0.00,Normal,46,0.00
DQ,GENERAL SURGERY CLINIC,OHOOD ALAMER,8,1,Others,202401,"2,089",,,261,232,149,1.56,161,1.63,149,1.56,High,161,1.63
DQ,GENERAL SURGERY CLINIC,Referral Doctor,8,2,Others,202401,0,,,0,0,149,0.00,161,0.00,149,0.00,Normal,161,0.00
DQ,GENERAL SURGERY CLINIC,OHOOD ALAMER,8,1,PHR,202401,225,,,28,25,16,1.56,17,1.63,16,1.56,High,17,1.63
DQ,GENERAL SURGERY CLINIC,Referral Doctor,8,2,PHR,202401,0,,,0,0,16,0.00,17,0.00,16,0.00,Normal,17,0.00
DQ,GENERAL SURGERY CLINIC,OHOOD ALAMER,8,1,Radiology,202401,"1,038",,,130,115,74,1.56,80,1.63,74,1.56,High,80,1.63
DQ,GENERAL SURGERY CLINIC,Referral Doctor,8,2,Radiology,202401,0,,,0,0,74,0.00,80,0.00,74,0.00,Normal,80,0.00
DQ,FAMILY MEDICINE,ABDULAZIZ ALHOQAIL,1,7,Total,202401,"17,838",15,15,"1,189","1,189",841,1.41,897,1.33,870,1.37,High,930,1.28
DC,INTERNAL MEDICINE CLINIC,FAISAL ALMUHIZI,7,3,Total,202401,"17,833",19,19,939,939,907,1.03,945,0.99,830,1.13,High,976,0.96
DQ,GP,Referral Doctor,6,1,Consultation,202401,"7,883",,,168,158,158,1.00,168,1.00,136,1.16,High,144,1.17
DQ,GP,Referral Doctor,6,1,Lab,202401,"2,934",,,62,59,59,1.00,62,1.00,586,0.10,Normal,620,0.10
DQ,GP,Referral Doctor,6,1,Others,202401,"30,392",,,647,608,608,1.00,647,1.00,287,2.12,High,303,2.13
DQ,GP,Referral Doctor,6,1,PHR,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,172,0.00,Normal,182,0.00
DQ,GP,Referral Doctor,6,1,Radiology,202401,"1,104",,,23,22,22,1.00,23,1.00,21,1.08,High,22,1.08
DC,PEDIATRIC,AHMAD MOOSA ALI ALHAZMI,8,2,Total,202401,"14,810",43,43,344,344,565,0.61,595,0.58,516,0.67,Normal,557,0.62
DQ,INTERNAL MEDICINE CLINIC,ABDULRAHMAN KHOJAH,2,2,Consultation,202401,"58,540",,,250,166,160,1.04,192,1.30,157,1.06,High,185,1.36
DQ,INTERNAL MEDICINE CLINIC,FOUZIA DRIDI BOUHEDJA,2,1,Consultation,202401,"83,944",,,172,165,160,1.03,192,0.90,157,1.05,High,185,0.93
DQ,INTERNAL MEDICINE CLINIC,RAMZI HAMMOUD,2,3,Consultation,202401,"20,115",,,144,131,160,0.82,192,0.75,157,0.83,Normal,185,0.78
DQ,INTERNAL MEDICINE CLINIC,Referral Doctor,2,4,Consultation,202401,333,,,166,166,160,1.04,192,0.87,157,1.06,High,185,0.90
DQ,INTERNAL MEDICINE CLINIC,ABDULRAHMAN KHOJAH,2,2,Lab,202401,"77,617",,,332,221,329,0.67,395,0.84,364,0.61,Normal,428,0.78
DQ,INTERNAL MEDICINE CLINIC,FOUZIA DRIDI BOUHEDJA,2,1,Lab,202401,"193,501",,,397,379,329,1.15,395,1.01,364,1.04,High,428,0.93
DQ,INTERNAL MEDICINE CLINIC,RAMZI HAMMOUD,2,3,Lab,202401,"63,655",,,455,413,329,1.26,395,1.15,364,1.14,High,428,1.06
DQ,INTERNAL MEDICINE CLINIC,Referral Doctor,2,4,Lab,202401,0,,,0,0,329,0.00,395,0.00,364,0.00,Normal,428,0.00
DQ,INTERNAL MEDICINE CLINIC,ABDULRAHMAN KHOJAH,2,2,Others,202401,"72,944",,,312,207,93,2.22,112,2.78,82,2.52,High,96,3.23
DQ,INTERNAL MEDICINE CLINIC,FOUZIA DRIDI BOUHEDJA,2,1,Others,202401,"19,787",,,41,39,93,0.42,112,0.36,82,0.47,Normal,96,0.42
DQ,INTERNAL MEDICINE CLINIC,RAMZI HAMMOUD,2,3,Others,202401,"2,368",,,17,15,93,0.16,112,0.15,82,0.19,Normal,96,0.18
DQ,INTERNAL MEDICINE CLINIC,Referral Doctor,2,4,Others,202401,0,,,0,0,93,0.00,112,0.00,82,0.00,Normal,96,0.00
DQ,INTERNAL MEDICINE CLINIC,ABDULRAHMAN KHOJAH,2,2,PHR,202401,"45,998",,,197,131,189,0.69,227,0.87,185,0.71,Normal,217,0.90
DQ,INTERNAL MEDICINE CLINIC,FOUZIA DRIDI BOUHEDJA,2,1,PHR,202401,"119,916",,,246,235,189,1.24,227,1.08,185,1.27,High,217,1.13
DQ,INTERNAL MEDICINE CLINIC,RAMZI HAMMOUD,2,3,PHR,202401,"26,542",,,190,172,189,0.91,227,0.83,185,0.93,Normal,217,0.87
DQ,INTERNAL MEDICINE CLINIC,Referral Doctor,2,4,PHR,202401,102,,,51,51,189,0.27,227,0.22,185,0.27,Normal,217,0.23
DQ,INTERNAL MEDICINE CLINIC,ABDULRAHMAN KHOJAH,2,2,Radiology,202401,"6,703",,,29,19,45,0.42,55,0.53,42,0.45,Normal,50,0.58
DQ,INTERNAL MEDICINE CLINIC,FOUZIA DRIDI BOUHEDJA,2,1,Radiology,202401,"30,762",,,63,60,45,1.33,55,1.16,42,1.43,High,50,1.28
DQ,INTERNAL MEDICINE CLINIC,RAMZI HAMMOUD,2,3,Radiology,202401,"8,186",,,58,53,45,1.17,55,1.07,42,1.26,High,50,1.18
DQ,INTERNAL MEDICINE CLINIC,Referral Doctor,2,4,Radiology,202401,588,,,294,294,45,6.47,55,5.39,42,6.98,High,50,5.94
DC,UROLOGY CLINIC,SAAD ALQASEM,15,1,Total,202401,"14,319",38,38,377,377,419,0.90,419,0.90,485,0.78,Normal,490,0.77
DC,ENT CLINIC,KHALID ALSHIHA,6,4,Total,202401,"12,944",24,24,539,539,613,0.88,641,0.84,639,0.84,Normal,667,0.81
DC,UROLOGY CLINIC,ALI ALGHONAIM,15,2,Total,202401,"8,332",16,16,521,521,419,1.24,419,1.24,485,1.07,High,490,1.06
DC,Clinical Nutrition,SARA BIN NASBAN,16,1,Total,202401,"7,762",45,45,172,172,172,1.00,172,1.00,160,1.08,High,160,1.08
DQ,OB-GYNE,CAREEMA JAMJOOM,3,2,Consultation,202401,"11,172",,,143,131,130,1.01,143,1.00,132,1.00,Normal,151,0.95
DQ,OB-GYNE,DUNIA CHAAR,3,1,Consultation,202401,"47,710",,,142,129,130,1.00,143,0.99,132,0.98,Normal,151,0.94
DQ,OB-GYNE,Referral Doctor,3,3,Consultation,202401,147,,,147,147,130,1.13,143,1.03,132,1.12,High,151,0.97
DQ,OB-GYNE,CAREEMA JAMJOOM,3,2,Lab,202401,"42,942",,,551,505,333,1.52,368,1.50,323,1.56,High,370,1.49
DQ,OB-GYNE,DUNIA CHAAR,3,1,Lab,202401,"108,742",,,324,295,333,0.88,368,0.88,323,0.91,Normal,370,0.88
DQ,OB-GYNE,Referral Doctor,3,3,Lab,202401,0,,,0,0,333,0.00,368,0.00,323,0.00,Normal,370,0.00
DQ,OB-GYNE,CAREEMA JAMJOOM,3,2,Others,202401,"2,807",,,36,33,16,2.08,17,2.06,17,1.91,High,20,1.82
DQ,OB-GYNE,DUNIA CHAAR,3,1,Others,202401,"4,402",,,13,12,16,0.75,17,0.75,17,0.69,Normal,20,0.66
DQ,OB-GYNE,Referral Doctor,3,3,Others,202401,0,,,0,0,16,0.00,17,0.00,17,0.00,Normal,20,0.00
DQ,OB-GYNE,CAREEMA JAMJOOM,3,2,PHR,202401,"9,371",,,120,110,70,1.57,78,1.55,70,1.57,High,80,1.49
DQ,OB-GYNE,DUNIA CHAAR,3,1,PHR,202401,"22,628",,,67,61,70,0.87,78,0.87,70,0.87,Normal,80,0.84
DQ,OB-GYNE,Referral Doctor,3,3,PHR,202401,0,,,0,0,70,0.00,78,0.00,70,0.00,Normal,80,0.00
DQ,OB-GYNE,CAREEMA JAMJOOM,3,2,Radiology,202401,"14,141",,,181,166,135,1.24,149,1.22,131,1.27,High,150,1.21
DQ,OB-GYNE,DUNIA CHAAR,3,1,Radiology,202401,"47,150",,,140,128,135,0.95,149,0.94,131,0.97,Normal,150,0.93
DQ,OB-GYNE,Referral Doctor,3,3,Radiology,202401,0,,,0,0,135,0.00,149,0.00,131,0.00,Normal,150,0.00
DC,INTERNAL MEDICINE CLINIC,AMJAD HAMAD ALBATILI,7,4,Total,202401,"6,959",10,10,696,696,907,0.77,945,0.74,830,0.84,Normal,976,0.71
DC,ER CLINIC,Referral Doctor,4,6,Total,202401,"6,557",36,36,182,182,332,0.55,342,0.53,308,0.59,Normal,320,0.57
DQ,GENERAL SURGERY CLINIC,OHOOD ALAMER,8,1,Total,202401,"5,044",8,9,631,560,416,1.35,448,1.41,416,1.35,High,448,1.41
DQ,OPHTHALMOLOGY,ABDULLAH MOUSA,5,1,Consultation,202401,"29,502",,,166,166,156,1.06,156,1.06,146,1.14,High,148,1.12
DQ,OPHTHALMOLOGY,KHALID  AL LAHAWI,5,2,Consultation,202401,"8,215",,,128,128,156,0.82,156,0.82,146,0.88,Normal,148,0.87
DQ,OPHTHALMOLOGY,ABDULLAH MOUSA,5,1,Lab,202401,162,,,1,1,1,1.01,1,1.00,3,0.27,Normal,3,0.27
DQ,OPHTHALMOLOGY,KHALID  AL LAHAWI,5,2,Lab,202401,57,,,1,1,1,0.98,1,0.98,3,0.27,Normal,3,0.26
DQ,OPHTHALMOLOGY,ABDULLAH MOUSA,5,1,Others,202401,"30,845",,,173,173,176,0.99,176,0.98,119,1.45,High,121,1.44
DQ,OPHTHALMOLOGY,KHALID  AL LAHAWI,5,2,Others,202401,"11,688",,,183,183,176,1.04,176,1.03,119,1.53,High,121,1.51
DQ,OPHTHALMOLOGY,ABDULLAH MOUSA,5,1,PHR,202401,"14,733",,,83,83,99,0.84,99,0.83,108,0.77,Normal,109,0.76
DQ,OPHTHALMOLOGY,KHALID  AL LAHAWI,5,2,PHR,202401,"9,213",,,144,144,99,1.45,99,1.45,108,1.34,High,109,1.32
DQ,OPHTHALMOLOGY,ABDULLAH MOUSA,5,1,Radiology,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,,0,#DIV/0!
DQ,OPHTHALMOLOGY,KHALID  AL LAHAWI,5,2,Radiology,202401,0,,,0,0,0,#DIV/0!,0,#DIV/0!,0,#DIV/0!,,0,#DIV/0!
DQ,ER CLINIC,Referral Doctor,3,8,Total,202401,"3,827",26,26,147,147,294,0.50,306,0.48,308,0.48,Normal,320,0.46
DQ,ER CLINIC,SUHAIB JABER,3,9,Total,202401,"3,221",10,10,322,322,294,1.10,306,1.05,308,1.05,High,320,1.01
DQ,ORTHOPEDICS,ABDULAZIZ ALHAKBANI,5,2,Consultation,202401,"15,592",,,136,131,142,0.92,150,0.91,140,0.93,Normal,147,0.92
DQ,ORTHOPEDICS,BADER YOUSEF ALNUAIM,5,1,Consultation,202401,"17,480",,,170,168,142,1.18,150,1.13,140,1.20,High,147,1.15
DQ,ORTHOPEDICS,MOHAMMED BENMEAKEL,5,4,Consultation,202401,"8,346",,,132,130,142,0.92,150,0.89,140,0.93,Normal,147,0.90
DQ,ORTHOPEDICS,Referral Doctor,5,5,Consultation,202401,147,,,147,147,142,1.03,150,0.98,140,1.05,High,147,1.00
DQ,ORTHOPEDICS,TARIQ ALDALBAHI,5,3,Consultation,202401,"7,828",,,133,133,142,0.93,150,0.89,140,0.95,Normal,147,0.90
DQ,ORTHOPEDICS,ABDULAZIZ ALHAKBANI,5,2,Lab,202401,"8,996",,,78,76,30,2.49,32,2.45,26,2.95,High,27,2.91
DQ,ORTHOPEDICS,BADER YOUSEF ALNUAIM,5,1,Lab,202401,81,,,1,1,30,0.03,32,0.02,26,0.03,Normal,27,0.03
DQ,ORTHOPEDICS,MOHAMMED BENMEAKEL,5,4,Lab,202401,619,,,10,10,30,0.32,32,0.31,26,0.38,Normal,27,0.37
DQ,ORTHOPEDICS,Referral Doctor,5,5,Lab,202401,0,,,0,0,30,0.00,32,0.00,26,0.00,Normal,27,0.00
DQ,ORTHOPEDICS,TARIQ ALDALBAHI,5,3,Lab,202401,856,,,15,15,30,0.48,32,0.45,26,0.57,Normal,27,0.54
DQ,ORTHOPEDICS,ABDULAZIZ ALHAKBANI,5,2,Others,202401,"6,603",,,57,55,80,0.69,84,0.68,63,0.88,Normal,66,0.87
DQ,ORTHOPEDICS,BADER YOUSEF ALNUAIM,5,1,Others,202401,"12,040",,,117,116,80,1.44,84,1.38,63,1.84,High,66,1.77
DQ,ORTHOPEDICS,MOHAMMED BENMEAKEL,5,4,Others,202401,712,,,11,11,80,0.14,84,0.13,63,0.18,Normal,66,0.17
DQ,ORTHOPEDICS,Referral Doctor,5,5,Others,202401,0,,,0,0,80,0.00,84,0.00,63,0.00,Normal,66,0.00
DQ,ORTHOPEDICS,TARIQ ALDALBAHI,5,3,Others,202401,"8,506",,,144,144,80,1.80,84,1.71,63,2.29,High,66,2.18
DQ,ORTHOPEDICS,ABDULAZIZ ALHAKBANI,5,2,PHR,202401,"16,953",,,147,142,186,0.77,195,0.76,166,0.86,Normal,174,0.85
DQ,ORTHOPEDICS,BADER YOUSEF ALNUAIM,5,1,PHR,202401,"21,179",,,206,204,186,1.10,195,1.05,166,1.23,High,174,1.18
DQ,ORTHOPEDICS,MOHAMMED BENMEAKEL,5,4,PHR,202401,"15,921",,,253,249,186,1.34,195,1.29,166,1.50,High,174,1.45
DQ,ORTHOPEDICS,Referral Doctor,5,5,PHR,202401,0,,,0,0,186,0.00,195,0.00,166,0.00,Normal,174,0.00
DQ,ORTHOPEDICS,TARIQ ALDALBAHI,5,3,PHR,202401,"10,376",,,176,176,186,0.95,195,0.90,166,1.06,High,174,1.01
DQ,ORTHOPEDICS,ABDULAZIZ ALHAKBANI,5,2,Radiology,202401,"27,963",,,243,235,202,1.16,212,1.15,198,1.19,High,208,1.17
DQ,ORTHOPEDICS,BADER YOUSEF ALNUAIM,5,1,Radiology,202401,"26,176",,,254,252,202,1.25,212,1.20,198,1.27,High,208,1.22
DQ,ORTHOPEDICS,MOHAMMED BENMEAKEL,5,4,Radiology,202401,"8,712",,,138,136,202,0.67,212,0.65,198,0.69,Normal,208,0.67
DQ,ORTHOPEDICS,Referral Doctor,5,5,Radiology,202401,0,,,0,0,202,0.00,212,0.00,198,0.00,Normal,208,0.00
DQ,ORTHOPEDICS,TARIQ ALDALBAHI,5,3,Radiology,202401,"7,157",,,121,121,202,0.60,212,0.57,198,0.61,Normal,208,0.58
DQ,Clinical Nutrition,NAGHAM KHALED EL DADOUN,8,1,Total,202401,"3,139",23,23,136,136,136,1.00,136,1.00,160,0.85,Normal,160,0.85
DC,GASTROENTEROLOGY,Referral Doctor,13,2,Total,202401,"2,227",1,1,"2,227","2,227",934,2.38,"1,006",2.21,934,2.38,High,"1,006",2.21
DQ,ENT CLINIC,Referral Doctor,4,4,Total,202401,"1,766",2,2,883,883,658,1.34,685,1.29,639,1.38,High,667,1.32
DQ,UROLOGY CLINIC,MOHAMMED  ALTHENEYAN,7,2,Total,202401,"1,726",5,5,345,345,559,0.62,571,0.60,485,0.71,Normal,490,0.70
DC,ORTHOPEDICS,SAUD YASEEN SALEEM BIN SALEEM,11,3,Total,202401,"1,469",3,3,490,490,484,1.01,500,0.98,592,0.83,Normal,622,0.79
DQ,PEDIATRIC,ALI CHEMALI,2,1,Consultation,202401,"61,212",,,137,131,134,0.98,145,0.94,134,0.98,Normal,145,0.95
DQ,PEDIATRIC,MOUDI ALHAMWAH,2,3,Consultation,202401,"11,960",,,171,164,134,1.22,145,1.17,134,1.22,High,145,1.18
DQ,PEDIATRIC,SAMIA ABDULRHMAN ALMADHI,2,5,Consultation,202401,"6,530",,,136,136,134,1.01,145,0.94,134,1.01,High,145,0.94
DQ,PEDIATRIC,WALAA ALSHABAN,2,2,Consultation,202401,"37,024",,,139,131,134,0.98,145,0.96,134,0.98,Normal,145,0.96
DQ,PEDIATRIC,YOUSEF ALYAMANY,2,4,Consultation,202401,"8,820",,,134,134,134,1.00,145,0.92,134,1.00,Normal,145,0.92
DQ,PEDIATRIC,ALI CHEMALI,2,1,Lab,202401,"24,306",,,54,52,47,1.10,51,1.06,69,0.76,Normal,75,0.73
DQ,PEDIATRIC,MOUDI ALHAMWAH,2,3,Lab,202401,"5,559",,,79,76,47,1.61,51,1.55,69,1.10,High,75,1.06
DQ,PEDIATRIC,SAMIA ABDULRHMAN ALMADHI,2,5,Lab,202401,303,,,6,6,47,0.13,51,0.12,69,0.09,Normal,75,0.08
DQ,PEDIATRIC,WALAA ALSHABAN,2,2,Lab,202401,"11,766",,,44,42,47,0.88,51,0.86,69,0.60,Normal,75,0.59
